,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
978,memorial day,https://open.spotify.com/playlist/4KaCuDknyPfNkvEDhxva0M,4KaCuDknyPfNkvEDhxva0M,0,131,0,Hailey,https://open.spotify.com/user/haibeccme,131,,False,https://mosaic.scdn.co/640/ab67616d0000b27300164c96548a622d34b39828ab67616d0000b2735a45d5041e4ffcb9f756f740ab67616d0000b2736f3451faa271fbe470685f34ab67616d0000b2739d0f0d226987b449808e7b6f
979,dads memorial songs,https://open.spotify.com/playlist/3e2bFrTERoxBc2Z08dYV09,3e2bFrTERoxBc2Z08dYV09,2,6,0,Ethan Emerson,https://open.spotify.com/user/1220908384,6,,False,https://mosaic.scdn.co/640/ab67616d0000b2731249203ae4bfa70933dfb3ebab67616d0000b27353b679bf466c1236b8758cdeab67616d0000b273a86971eb11a06663bfb479c0ab67616d0000b273ba42bfcfeed19018b1f8cab8
980,Dads memorial,https://open.spotify.com/playlist/15HBrDUYVSX6HgT5PW2WX2,15HBrDUYVSX6HgT5PW2WX2,1,104,0,Lindajillson,https://open.spotify.com/user/8g4e3rageep4zmb2vw4xb58jz,104,,False,https://mosaic.scdn.co/640/ab67616d0000b2735c1c4d3d94d0e845bd1ebec1ab67616d0000b2736ad5a5cecefb47d820d22362ab67616d0000b273aa5a980fee650a3fa53567f9ab67616d0000b273d3ebd08511609682bdfca57e
981,Sam Sussman Memorial,https://open.spotify.com/playlist/6MnzkCff3qUBSMg1zPjWHG,6MnzkCff3qUBSMg1zPjWHG,6,82,0,bradleyfrankel,https://open.spotify.com/user/bradleyfrankel,82,,False,https://mosaic.scdn.co/640/ab67616d0000b2734ce8b4e42588bf18182a1ad2ab67616d0000b2738260863a56134f1516913d7fab67616d0000b273ade1843699bf51399b70303aab67616d0000b273b98f37642280c7edad050c5e
982,Dads Memorial Service ,https://open.spotify.com/playlist/2pBN3Qun7AdVzfE70qvzxp,2pBN3Qun7AdVzfE70qvzxp,1,77,0,weymoco1986,https://open.spotify.com/user/weymoco1986,77,,False,https://mosaic.scdn.co/640/ab67616d0000b2732fc23e78e87d793054bba090ab67616d0000b27336572e6726714544f5bed456ab67616d0000b273375445cc7a2aedff11361b51ab67616d0000b27341be6d9cf0ec0067d095a072
983,Mom's Memorial,https://open.spotify.com/playlist/4YeaBsbHrDPRHQgegoZCb8,4YeaBsbHrDPRHQgegoZCb8,0,59,0,Lynsie Morris,https://open.spotify.com/user/1228890168,59,,False,https://mosaic.scdn.co/640/ab67616d0000b2730f6ce5c138493ac768d9afc8ab67616d0000b273195d2c01c72fc37c5bd58019ab67616d0000b2731b2a9188ac775e16998eb78dab67616d0000b2738d6479b1461b26b8b6603935
984,Chris memorial ,https://open.spotify.com/playlist/6QO9pAa7DGFVBh4fjai0Nn,6QO9pAa7DGFVBh4fjai0Nn,0,12,0,mamastrong,https://open.spotify.com/user/mamastrong,12,,False,https://mosaic.scdn.co/640/ab67616d0000b273195d2c01c72fc37c5bd58019ab67616d0000b273413a6c2c7b296d98171e5e21ab67616d0000b273582d56ce20fe0146ffa0e5cfab67616d0000b2736e996745f2c7b8036abef213
985,Memorial Service,https://open.spotify.com/playlist/1mWyBpgQUrtGM9EIhBzlbG,1mWyBpgQUrtGM9EIhBzlbG,1,38,0,0288xcnq26v2mkcr7irr2uhvh,https://open.spotify.com/user/0288xcnq26v2mkcr7irr2uhvh,38,mama,False,https://mosaic.scdn.co/640/ab67616d0000b27359f746e7040d52ccdddf21b7ab67616d0000b2736221a1afce5c0cbd400e3f77ab67616d0000b273740e28bba0e258aae64192d0ab67616d0000b273c5b680dc2eef158b29efe7b2
986,Gary's Memorial,https://open.spotify.com/playlist/3ULDnErj23Mnda8yZ8R9yP,3ULDnErj23Mnda8yZ8R9yP,0,156,0,Nina,https://open.spotify.com/user/jvbyb7njmdv3tyie6jxs6jyd9,156,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbec378cccbf33ae169988416e
987,Jim's memorial,https://open.spotify.com/playlist/4ipu9PjyPZPy3lUZkVQchI,4ipu9PjyPZPy3lUZkVQchI,1,90,0,Kristine VanNevel,https://open.spotify.com/user/31omghasizodqbuvdq4gxorpispe,90,,False,https://mosaic.scdn.co/640/ab67616d0000b2736a817ca96f7ea6f5ba63be05ab67616d0000b27386a8ab515de4b7aef28cd631ab67616d0000b273bfedccaca3c8425fdc0a7c73ab67616d0000b273dc76954b3aa8f0e82857f722
988,Juju’s memorial songs,https://open.spotify.com/playlist/3J38NyX8jqGjQSuytEPsWz,3J38NyX8jqGjQSuytEPsWz,0,20,0,Steph,https://open.spotify.com/user/08vrfny4ddppvqbx6isswac3n,20,,False,https://mosaic.scdn.co/640/ab67616d0000b273413a6c2c7b296d98171e5e21ab67616d0000b273a8d8363ccbeb2459673e91f6ab67616d0000b273b7d69f48b104003377bf6984ab67616d0000b273c26357620e211089bf6b45e9
