,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
34,In Mourning Radio,https://open.spotify.com/playlist/37i9dQZF1E4vuXk65nNs2S,37i9dQZF1E4vuXk65nNs2S,334,50,0,Spotify,https://open.spotify.com/user/spotify,50,"With In Vain, Barren Earth, Enshine and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/artist/0gsIXiV7rw5I9wJaxgoOdB/en
35,Mourning Time - Sped Up Edit Radio,https://open.spotify.com/playlist/37i9dQZF1E8NSeOp9fy2p0,37i9dQZF1E8NSeOp9fy2p0,2,50,0,Spotify,https://open.spotify.com/user/spotify,50,"With vxcelm, LDF, TEVIAS, RasKal and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/track/070GO6JekpnnUoNXf8OZkJ/en
36,AUSTIN - Post Malone,https://open.spotify.com/playlist/4JXABTTfeZbxEKEzXbV7e7,4JXABTTfeZbxEKEzXbV7e7,8534,119,0,Truhshy @chris.trush on IG,https://open.spotify.com/user/s1rb0o7nbdchgmqatn67b7a4y,119,@chris.trush on Instagam for inquiries | All Posty songs including features | MOURNING CHEMICAL DONT UNDERSTAND SOMETHING REAL NOVACANDY TOO COOL TO DIE SIGN ME UP SOCIALITE OVERDRIVE SPEEDOMETER HOLD MY BREATH ENOUGH IS ENOUGH TEXAS TEA BUYER BEWARE LANDMINE GREEN THUMB LAUGH IT OFF SUNFLOWER I LIK,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb1bfeb9d6dd0d82e528990efe
37,Post Malone - AUSTIN (New 2023 Album),https://open.spotify.com/playlist/0wWckcrghIp3HnV6fOE45i,0wWckcrghIp3HnV6fOE45i,14854,30,0,Ray Fontaine,https://open.spotify.com/user/1221028518,30,"New Posty album out July 28, 2023. Tracklist: Don&#x27;t Understand, Something Real, Chemical, Novacandy, Mourning, Too Cool to Die, Sign Me Up, Socialite, Overdrive, Speedometer, Hold My Breath, Enough Is Enough, Texas Tea, Buyer Beware, Landmine, Green Thumb, Laugh It Off, Dynamite, Guillotine, Joy.",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb1592485fc1cceacf900536c3
38,This Is September Mourning,https://open.spotify.com/playlist/37i9dQZF1DZ06evO21yfcx,37i9dQZF1DZ06evO21yfcx,166,29,0,Spotify,https://open.spotify.com/user/spotify,29,"This is September Mourning. The essential tracks, all in one playlist.",False,https://thisis-images.spotifycdn.com/37i9dQZF1DZ06evO21yfcx-large.jpg
39,Mournin,https://open.spotify.com/playlist/0faL45GMAOCYASjFsSGnBA,0faL45GMAOCYASjFsSGnBA,2,57,0,N8DOG,https://open.spotify.com/user/1ge2id8lit07uuio8pwvp97mv,57,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb1d8ceae114c877eb7bbcddc9
40,Passion Week Playlist,https://open.spotify.com/playlist/56bo2ruoYH4zb5dQU01BBJ,56bo2ruoYH4zb5dQU01BBJ,95,30,0,Calvin Hansen,https://open.spotify.com/user/vsg08ql7b6x5s8yv2w4wwmb58,30,"Journey through the adoration of Palm Sunday, the mourning of Good Friday, and the glorious celebration of Easter Sunday with this special playlist curated by Coram Deo Worship! This playlist will help you prepare your heart in the coming weeks as we look forward to coming together remember Christ.",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbeb34f8e917e4c269dfbccb0f
41,Mourn vs self ,https://open.spotify.com/playlist/5Nxvd18ccotTOxAhGVAR28,5Nxvd18ccotTOxAhGVAR28,294,75,0,Dvn :),https://open.spotify.com/user/dtwg00z8av6u6ohlyz1osp8hj,75,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbe707e2469622b6ad1c616ba8
42,SONGS FOR GRIEF & LOSS,https://open.spotify.com/playlist/7iXvBZVIE0PZwCtDPwhuZW,7iXvBZVIE0PZwCtDPwhuZW,1932,109,0,Heather Fantin,https://open.spotify.com/user/1274705789,109,"When your heart aches with the profound pain of loss, use these songs to bring up emotion, hold them gently and feel whatever you need to feel in order to heal. Feeling is healing... be gentle with yourself, be loving, patient and kind. Sending you love on your journey. xx, Heather",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb768e3d3b50048aefb7971f74
43,Playlist For Grief and Loss,https://open.spotify.com/playlist/4VdAlUjMtVLMx8W24vCW9M,4VdAlUjMtVLMx8W24vCW9M,719,53,0,Chelsea Dorsey,https://open.spotify.com/user/1237266579,53,Sad songs to deal with grief and loss of various forms.,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbd1848e095dc87198edb8dc3a
