,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
262,Supermarket Flowers // Grief,https://open.spotify.com/playlist/0PrthiDqLpRgrnjdICFNon,0PrthiDqLpRgrnjdICFNon,4,123,0,Bri Irwin,https://open.spotify.com/user/1213523553,123,A playlist about grief,False,https://mosaic.scdn.co/640/ab67616d0000b27301003bf641243fcc56944428ab67616d0000b2735da2756220da9b6f17924f8fab67616d0000b273ba5db46f4b838ef6027e6f96ab67616d0000b273c432294bc8f984eca745350d
263,Anger told me its name and its Grief,https://open.spotify.com/playlist/1tFFSmQ8t5VkkfS1yFUY5S,1tFFSmQ8t5VkkfS1yFUY5S,0,18,0,Ty Sullivan,https://open.spotify.com/user/1245040914,18,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb810c2210c51c7c900f51d28f
264,United In Grief,https://open.spotify.com/playlist/3ZNPgRYSJVAHkWJcpG9Mbv,3ZNPgRYSJVAHkWJcpG9Mbv,0,67,0,nonojojo2,https://open.spotify.com/user/nonojojo2,67,,False,https://mosaic.scdn.co/640/ab67616d0000b27326f7f19c7f0381e56156c94aab67616d0000b2732e02117d76426a08ac7c174fab67616d0000b2739214ff0109a0e062f8a6cf0fab67616d0000b273d68e7bf7f2092849bc7f2a9d
265,Grief,https://open.spotify.com/playlist/3UwKYrIcjx0v6IQbsAFZ5R,3UwKYrIcjx0v6IQbsAFZ5R,2,121,0,LaVel,https://open.spotify.com/user/31md7scbrswcvkgwemd3kapi2ewu,121,,False,https://mosaic.scdn.co/640/ab67616d0000b27313c532890739d705e5a55af6ab67616d0000b273ba30859a1ca79c5a372d177aab67616d0000b273c08d5fa5c0f1a834acef5100ab67616d0000b273e2aa84b988e58703f8ed4e84
266,Good Grief. ,https://open.spotify.com/playlist/0epZr4gk1jfSduJ6RVbBbf,0epZr4gk1jfSduJ6RVbBbf,0,27,0,Ani Hildebrandt,https://open.spotify.com/user/t6lks929v0qoog38j12ebenz0,27,,False,https://mosaic.scdn.co/640/ab67616d0000b27316d3b203907a153cb72940d1ab67616d0000b2732087575a503aeb4de86c9e15ab67616d0000b27393062e5b25ffdc495bba05beab67616d0000b273e538338d433496b12a3c4342
267,United in Grief,https://open.spotify.com/playlist/5mxUMmM9blvDws5cBMV7UP,5mxUMmM9blvDws5cBMV7UP,0,121,0,OrangeAcorn,https://open.spotify.com/user/31jus2xcujxynw7rv552tee4iwoy,121,,False,https://mosaic.scdn.co/640/ab67616d0000b27326f7f19c7f0381e56156c94aab67616d0000b273b5ef185d28724c5573c2ac9cab67616d0000b273c6e0948bbb0681ff29cdbae8ab67616d0000b273d58e537cea05c2156792c53d
268,the five stages of grief,https://open.spotify.com/playlist/0SkWowkaxA8uMuW7oTXzqi,0SkWowkaxA8uMuW7oTXzqi,0,49,0,han ღ,https://open.spotify.com/user/hanaatatby,49,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb99e239cdd9956996cc354e4d
269,grief,https://open.spotify.com/playlist/6KCvVU3dKgvZvKXdk0spV9,6KCvVU3dKgvZvKXdk0spV9,0,122,0,Riley Lopez,https://open.spotify.com/user/rileybriannelopez,122,,False,https://mosaic.scdn.co/640/ab67616d0000b273116f184b2510ff64c96c6baaab67616d0000b2735282d57c8563f28262bf0905ab67616d0000b2736ee35072df1af802cca09918ab67616d0000b2737a863713ed21193f3cf07e45
270,5 stages of grief,https://open.spotify.com/playlist/3LzNoGXVoAyScOQLe0NtOp,3LzNoGXVoAyScOQLe0NtOp,2,331,0,Valentina Leitzelar,https://open.spotify.com/user/12165006223,331,When going through a rollercoaster of emotions. Mostly sad tho. También para cuando estás bien peda,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb5df199fd6a94bc29b008e599
271,the 6 stages of grief ,https://open.spotify.com/playlist/6WGl7dRHDq9zZRl0V0ZXwc,6WGl7dRHDq9zZRl0V0ZXwc,0,108,0,Laura Forsythe,https://open.spotify.com/user/31vsbjhoppqgl3ok6unmxkdqqmgi,108,,False,https://mosaic.scdn.co/640/ab67616d0000b273175c577a61aa13d4fb4b6534ab67616d0000b2734f0fd9dad63977146e685700ab67616d0000b2739c1e02d4becb7c5bbca01e2aab67616d0000b273d58e537cea05c2156792c53d
272,united in grief,https://open.spotify.com/playlist/22yYJb51imYoQWL2vB3JLR,22yYJb51imYoQWL2vB3JLR,101,40,0,freya,https://open.spotify.com/user/31goqhhuspqqt2j5ymli3tvpj,40,"kendrick lamar, tyler the creator, steve lacy, childish gambino vibes",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb1f5cff4418116b078df2d011
273,grief.,https://open.spotify.com/playlist/5zaQ9TvB19qwLaY3oFpX0h,5zaQ9TvB19qwLaY3oFpX0h,0,97,0,will.,https://open.spotify.com/user/unknownstranger,97,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb00baa97cad4c0118f7ec5474
274,quiet rainy sunday evening,https://open.spotify.com/playlist/2Zk92EOERabREZBlQL1ehP,2Zk92EOERabREZBlQL1ehP,0,169,0,Kendall Hertenberger,https://open.spotify.com/user/kendallhert,169,daylist derived vibes - an alternative title to “grief crunchy Sunday evening”,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb19c8a966899f7a9d020acaa8
275,Five stages of grief,https://open.spotify.com/playlist/4cRFRlO4YRatfInJaCVGHh,4cRFRlO4YRatfInJaCVGHh,0,315,0,Solina,https://open.spotify.com/user/t4dy8oz1kfh8hbqsats90tvq3,315,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbed6a43ad7d69b4d74449d79f
276,5 Stages of Grief,https://open.spotify.com/playlist/5lCjtZy9J6Y0PiItTvsWqe,5lCjtZy9J6Y0PiItTvsWqe,2,395,0,Melody,https://open.spotify.com/user/ydhvnih98qtkq1j97ja4t6yp1,395,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb8437afc91c96d4be621df783
277,Grief & Hope,https://open.spotify.com/playlist/0MQ5pokvvWc2uEUC96KD2N,0MQ5pokvvWc2uEUC96KD2N,2,89,0,Russell Jams,https://open.spotify.com/user/qwy4xwji8tssac53qb2wgxwjw,89,,False,https://mosaic.scdn.co/640/ab67616d0000b27372b7a20271dbdee3eceb308eab67616d0000b2737cc8517f09c27c5e6f240e37ab67616d0000b2738eb476e15ce16e41ca9b9b15ab67616d0000b2739607f1a9d7fbc6f6b78b477f
278,All Five Stages Of Grief In One Playlist,https://open.spotify.com/playlist/3XmlUHqCkT6muN6ghStK2R,3XmlUHqCkT6muN6ghStK2R,0,139,0, ,https://open.spotify.com/user/ycp9t7s5h2o2magd807u94p0s,139,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbc3a186f30810380dfe7388a7
279,Good Grief,https://open.spotify.com/playlist/37hxmgcUMVS3kR2S1zbSb1,37hxmgcUMVS3kR2S1zbSb1,1,103,0,ArrowUp,https://open.spotify.com/user/jdonati2543,103,,False,https://mosaic.scdn.co/640/ab67616d0000b27301ce67acc62a84c04b791ec5ab67616d0000b27311fd2cc6a0bdecf78cad7bf0ab67616d0000b273189a2fd96724ce397c2dc2f0ab67616d0000b2739b098cb59c0ccbec181692ea
